India and Bigger States,Total-2000,Total-2005,Total-2012,Total-% compound annual change-2000/2005,Total-% compound annual change-2005/2012,Rural-2000,Rural-2005,Rural-2012,Rural-% compound annual change-2000/2005,Rural-% compound annual change-2005/2012,Urban-2000,Urban-2005,Urban-2012,Urban-% compound annual change-2000/2005,Urban-% compound annual change-2005/2012,,,,,
India,68,58,42,-3.131223109,-4.506354942,74,64,46,-2.861889636,-4.608182709,44,40,28,-1.888150427,-4.967720075,,,,,
Andhra Pradesh,65,57,41,-2.592521835,-4.597791443,74,63,46,-3.167361443,-4.393331919,36,39,30,1.613736474,-3.6786905,,,,,
Assam,75,68,55,-1.940532651,-2.985588437,78,71,58,-1.863006434,-2.847762684,35,39,33,2.187861931,-2.35823551,,,,,
Bihar,62,61,43,-0.324682181,-4.872624017,63,62,44,-0.319495351,-4.7811355,53,47,34,-2.374246775,-4.520182578,,,,,
Chhatisgarh,NA,63,47,NA,-4.099146431,0,65,48,NA,-4.23877407,0,52,39,NA,-4.026439021,,,,,
Delhi,NA,35,25,NA,-4.693051142,0,44,36,NA,-2.826023535,0,33,23,NA,-5.026600141,,,,,
Gujarat,62,54,38,-2.725184879,-4.896051526,69,63,45,-1.802983763,-4.693051142,45,37,24,-3.839249971,-5.996458232,,,,,
Haryana,67,60,42,-2.182785928,-4.967720075,69,64,46,-1.49320784,-4.608182709,57,45,33,-4.617756874,-4.33405925,,,,,
Himachal Pradesh,51,49,36,-0.796914358,-4.308723983,52,50,37,-0.781345763,-4.210299119,35,20,25,-10.58870393,3.239118471,,,,,
Jammu and Kashmir,NA,50,39,NA,-3.487193818,0,53,41,NA,-3.600990935,0,39,28,NA,-4.623382171,,,,,
Jharkhand,NA,50,38,NA,-3.844668308,0,53,39,NA,-4.287244455,0,33,27,NA,-2.826023535,,,,,
Karnataka,57,50,32,-2.586526422,-6.176544291,68,54,36,-4.505805576,-5.627794256,24,39,25,10.19722877,-6.1550793,,,,,
Kerala,14,14,12,0,-2.178082202,14,15,13,1.389421401,-2.023543665,14,12,9,-3.03597339,-4.026439021,,,,,
Madhya Pradesh,87,76,56,-2.667278238,-4.268802688,93,80,60,-2.966564567,-4.026439021,54,54,37,0,-5.257684451,,,,,
Maharashtra,48,36,25,-5.591248871,-5.075834719,56,41,30,-6.045158132,-4.364390885,33,27,17,-3.933943163,-6.395251744,,,,,
Odisha,95,75,53,-4.617756874,-4.838949103,99,78,55,-4.656326334,-4.868572768,66,55,39,-3.5807496,-4.79238138,,,,,
Punjab,52,44,28,-3.285884,-6.252885792,56,49,30,-2.635281938,-6.768914832,38,37,24,-0.531945076,-5.996458232,,,,,
Rajasthan,79,68,49,-2.954284962,-4.573368158,82,75,54,-1.768792593,-4.584500524,58,43,31,-5.809285266,-4.566899433,,,,,
Tamil Nadu,51,37,21,-6.216527421,-7.77266638,56,39,24,-6.980218292,-6.700763309,38,34,18,-2.199952868,-8.68503833,,,,,
Uttar Pradesh,83,73,53,-2.534940209,-4.47079925,87,77,56,-2.412477049,-4.447408158,65,54,39,-3.640157686,-4.54248574,,,,,
West Bengal,51,38,32,-5.714982915,-2.425113556,54,40,33,-5.82551665,-2.710751266,37,31,26,-3.476737221,-2.481417662,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
